ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
16208066,754987.915,3741747.342,303.219,0.812,0.45908000000000004,16.795,62422.19456,-84.246153057,33.785185563
16208067,754987.912,3741747.314,303.04,0.816,0.4488,16.744,62422.19459,-84.246153105,33.785185318
16208068,754987.91,3741747.296,302.859,0.808,0.43851,16.684,62422.19463,-84.246153133,33.785185154000004
16208069,754987.907,3741747.277,302.68,0.792,0.42823,16.627,62422.19466,-84.246153163,33.785184986
16208070,754987.906,3741747.263,302.499,0.788,0.41794,16.567,62422.19469,-84.246153182,33.785184861
16208071,754987.904,3741747.246,302.322,0.757,0.40765,16.512999999999998,62422.19472000001,-84.246153209,33.785184706
16208072,754987.901,3741747.225,302.146,0.71,0.39737,16.465,62422.194760000006,-84.246153243,33.785184517
16208184,754988.064,3741747.483,304.349,0.753,0.53098,16.910999999999998,62422.20765,-84.246151415,33.785186803
16208185,754988.06,3741747.456,304.165,0.769,0.52069,16.844,62422.20767999999,-84.246151464,33.785186556999996
16208186,754988.061,3741747.455,303.967,0.773,0.5104,16.749000000000002,62422.20771,-84.246151455,33.785186546999995
16208187,754988.058,3741747.429,303.786,0.784,0.50012,16.685,62422.20775,-84.246151498,33.785186315
16208188,754988.056,3741747.416,303.599,0.788,0.48983000000000004,16.609,62422.20778,-84.246151515,33.785186199
16208189,754988.054,3741747.394,303.418,0.784,0.47953999999999997,16.546,62422.20781,-84.246151552,33.785186
16208190,754988.052,3741747.382,303.234,0.788,0.46926,16.474,62422.207839999995,-84.246151568,33.785185892
16208191,754988.05,3741747.363,303.055,0.788,0.45897,16.412,62422.207879999994,-84.246151597,33.785185721
16208192,754988.049,3741747.351,302.874,0.788,0.44868,16.345,62422.207910000005,-84.246151611,33.78518562
16208193,754988.046,3741747.327,302.7,0.792,0.4384,16.294,62422.20794,-84.246151653,33.785185401
16208194,754988.045,3741747.317,302.521,0.8,0.42811000000000005,16.229,62422.20797999999,-84.246151663,33.78518531
16208195,754988.042,3741747.29,302.351,0.8,0.41783000000000003,16.185,62422.20801,-84.24615171,33.78518507
16208196,754988.04,3741747.275,302.177,0.796,0.40754,16.131,62422.20804,-84.246151734,33.785184929
16208197,754988.039,3741747.263,302.002,0.8,0.39725,16.075,62422.20807000001,-84.24615174899999,33.785184821
16208198,754988.036,3741747.238,301.834,0.796,0.38697,16.035,62422.20811,-84.246151791,33.785184598
16208199,754988.035,3741747.229,301.661,0.804,0.37668,15.98,62422.208139999995,-84.2461518,33.785184517
16208200,754988.032,3741747.205,301.494,0.808,0.3664,15.943,62422.208170000005,-84.246151841,33.785184304
16208201,754988.03,3741747.191,301.324,0.812,0.35611,15.897,62422.2082,-84.24615186,33.785184183
16208202,754988.029,3741747.178,301.156,0.812,0.34583,15.854000000000001,62422.20824,-84.246151878,33.78518406
16208203,754988.027,3741747.16,300.99,0.816,0.33554,15.817,62422.20827,-84.246151907,33.785183896999996
16208204,754988.023,3741747.135,300.827,0.82,0.32526,15.789000000000001,62422.2083,-84.246151951,33.785183674
16208205,754988.023,3741747.127,300.659,0.827,0.31496999999999997,15.744000000000002,62422.20834,-84.246151955,33.785183608000004
16208206,754988.021,3741747.107,300.496,0.827,0.30469,15.715,62422.20837000001,-84.246151989,33.785183425999996
16208207,754988.019,3741747.093,300.331,0.831,0.2944,15.681,62422.2084,-84.246152009,33.785183302
16208208,754988.017,3741747.076,300.168,0.827,0.28412,15.652000000000001,62422.20843,-84.246152035,33.78518315
16208209,754988.016,3741747.066,300.004,0.827,0.27384000000000003,15.618,62422.208470000005,-84.246152047,33.785183055
16208308,754988.206,3741747.526,304.342,0.765,0.54125,16.587,62422.22094,-84.246149874,33.785187155
16208309,754988.203,3741747.506,304.157,0.769,0.53096,16.512,62422.22097,-84.246149907,33.785186975
16208310,754988.201,3741747.487,303.973,0.776,0.52068,16.438,62422.221,-84.246149938,33.7851868
16208311,754988.198,3741747.462,303.793,0.784,0.51039,16.372,62422.22104,-84.246149979,33.785186581
16208312,754988.197,3741747.456,303.605,0.792,0.5001,16.288,62422.22107000001,-84.246149981,33.785186524000004
16208313,754988.193,3741747.423,303.434,0.784,0.48982,16.237000000000002,62422.2211,-84.246150042,33.785186229000004
16208314,754988.191,3741747.408,303.254,0.792,0.47953,16.168,62422.22113,-84.24615006399999,33.785186093
16208315,754988.192,3741747.408,303.068,0.788,0.46924,16.084,62422.221170000004,-84.246150052,33.785186093
16208316,754988.189,3741747.384,302.896,0.784,0.45896000000000003,16.03,62422.2212,-84.246150094,33.785185876999996
16208317,754988.186,3741747.363,302.723,0.788,0.44866999999999996,15.975,62422.221229999996,-84.24615012699999,33.785185694
16208318,754988.184,3741747.344,302.551,0.792,0.43838999999999995,15.92,62422.221260000006,-84.246150158,33.785185521
16208319,754988.183,3741747.331,302.378,0.788,0.4281,15.86,62422.2213,-84.246150175,33.785185404
16208320,754988.178,3741747.299,302.214,0.796,0.41781,15.824000000000002,62422.22132999999,-84.246150235,33.785185113000004
16208321,754988.179,3741747.296,302.038,0.796,0.40753,15.757,62422.22136,-84.24615023,33.78518509
16208322,754988.178,3741747.286,301.867,0.8,0.39724,15.7,62422.2214,-84.24615024,33.785185002
16208323,754988.174,3741747.257,301.705,0.804,0.38695999999999997,15.667,62422.22143,-84.246150294,33.785184736
16208324,754988.172,3741747.243,301.538,0.804,0.37667,15.619000000000002,62422.22146,-84.24615031399999,33.785184609
16208325,754988.17,3741747.223,301.374,0.812,0.36639,15.579,62422.221489999996,-84.24615034600001,33.785184433000005
16208326,754988.169,3741747.212,301.207,0.812,0.3561,15.530999999999999,62422.221529999995,-84.24615035800001,33.785184338
16208327,754988.169,3741747.209,301.039,0.812,0.34581999999999996,15.479000000000001,62422.221560000005,-84.246150356,33.785184303
16208328,754988.17,3741747.206,300.872,0.804,0.33553,15.427,62422.22159,-84.246150353,33.785184277
16208329,754988.164,3741747.165,300.718,0.816,0.32525,15.417,62422.221620000004,-84.24615043,33.785183914
16208330,754988.162,3741747.151,300.556,0.808,0.31496,15.38,62422.22166,-84.24615044800001,33.785183791
16208331,754988.16,3741747.132,300.396,0.82,0.30468,15.350999999999999,62422.22169,-84.24615048,33.785183619
16208332,754988.158,3741747.116,300.237,0.816,0.2944,15.321,62422.22172,-84.246150506,33.78518347
16208333,754988.159,3741747.114,300.073,0.827,0.28411,15.277000000000001,62422.22176,-84.246150499,33.785183453
16208433,754988.342,3741747.542,304.346,0.773,0.55162,16.295,62422.234220000006,-84.246148392,33.785187264
16208434,754988.343,3741747.541,304.152,0.761,0.5413399999999999,16.195999999999998,62422.234260000005,-84.246148382,33.785187255
16208435,754988.34,3741747.518,303.973,0.773,0.53105,16.127,62422.23429,-84.246148422,33.785187047
16208436,754988.338,3741747.496,303.795,0.78,0.52076,16.058,62422.23432,-84.24614845800001,33.785186851
16208437,754988.337,3741747.487,303.611,0.792,0.51047,15.975999999999999,62422.23435,-84.24614846600001,33.785186774
16208438,754988.334,3741747.465,303.437,0.773,0.5001899999999999,15.912,62422.23439,-84.246148502,33.785186576
16208439,754988.332,3741747.445,303.262,0.784,0.4899,15.847999999999999,62422.23442000001,-84.246148534,33.785186398
16208440,754988.331,3741747.435,303.085,0.784,0.47962,15.776,62422.23445,-84.246148547,33.785186302
16208441,754988.328,3741747.409,302.916,0.784,0.46933,15.722999999999999,62422.23447999999,-84.24614859100001,33.785186075
16208442,754988.331,3741747.425,302.729,0.78,0.45903999999999995,15.626,62422.234520000005,-84.246148546,33.785186213
16208443,754988.326,3741747.39,302.567,0.784,0.44876000000000005,15.589,62422.23455,-84.24614861100001,33.785185901999995
16208444,754988.324,3741747.372,302.4,0.78,0.43846999999999997,15.535,62422.23458,-84.246148641,33.785185736
16208445,754988.322,3741747.354,302.232,0.796,0.42818999999999996,15.482000000000001,62422.23461,-84.246148669,33.785185579
16208446,754988.318,3741747.327,302.07,0.788,0.4179,15.440999999999999,62422.23465,-84.246148715,33.785185339
16208447,754988.316,3741747.311,301.905,0.796,0.40762,15.390999999999998,62422.234679999994,-84.246148741,33.785185192
16208448,754988.317,3741747.308,301.735,0.796,0.39733,15.328,62422.234710000004,-84.24614873600001,33.785185167
16208449,754988.312,3741747.274,301.579,0.804,0.38705,15.300999999999998,62422.23475,-84.246148799,33.785184862
16208450,754988.312,3741747.267,301.413,0.816,0.37676,15.247,62422.23478,-84.246148804,33.785184797
16208451,754988.309,3741747.245,301.253,0.808,0.36648000000000003,15.210999999999999,62422.23481,-84.246148842,33.7851846
16208452,754988.307,3741747.228,301.093,0.808,0.35619,15.172,62422.23484,-84.24614887,33.785184444
16208453,754988.305,3741747.213,300.933,0.816,0.34591,15.133,62422.234879999996,-84.246148891,33.785184309
16208454,754988.303,3741747.195,300.775,0.812,0.33562,15.097999999999999,62422.23491,-84.24614892,33.78518415
16208455,754988.303,3741747.191,300.612,0.812,0.32534,15.05,62422.234939999995,-84.246148918,33.785184115999996
16208456,754988.302,3741747.178,300.454,0.82,0.31505,15.014000000000001,62422.234970000005,-84.246148937,33.785183997
16208457,754988.298,3741747.151,300.301,0.816,0.30477,14.994000000000002,62422.235010000004,-84.246148984,33.785183756
16208458,754988.296,3741747.132,300.146,0.824,0.29449000000000003,14.968,62422.23504,-84.246149016,33.785183581999995
16208459,754988.297,3741747.132,299.986,0.82,0.2842,14.923,62422.23507,-84.24614900600001,33.785183585
16208558,754988.484,3741747.582,304.324,0.761,0.56179,15.97,62422.2475,-84.24614685600001,33.785187593
16208559,754988.48,3741747.556,304.148,0.773,0.5515100000000001,15.901,62422.24752999999,-84.246146903,33.785187356
16208560,754988.477,3741747.53,303.973,0.773,0.54122,15.833,62422.24757000001,-84.24614694600001,33.785187129
16208561,754988.477,3741747.525,303.788,0.776,0.53093,15.745,62422.2476,-84.24614694600001,33.785187083000004
16208562,754988.475,3741747.511,303.611,0.784,0.52064,15.67,62422.24763,-84.246146967,33.785186951
16208563,754988.472,3741747.487,303.44,0.773,0.51036,15.607999999999999,62422.24766,-84.246147009,33.785186737
16208564,754988.472,3741747.482,303.26,0.773,0.50007,15.526,62422.2477,-84.246147007,33.785186695
16208565,754988.468,3741747.453,303.095,0.776,0.48978999999999995,15.475,62422.247729999995,-84.24614706,33.785186431999996
16208566,754988.466,3741747.434,302.926,0.78,0.4795,15.414000000000001,62422.247760000006,-84.24614709,33.785186265
16208567,754988.466,3741747.431,302.751,0.784,0.46921,15.338,62422.2478,-84.246147087,33.785186232
16208568,754988.464,3741747.409,302.586,0.784,0.45893,15.285,62422.24782999999,-84.246147123,33.785186038
16208569,754988.461,3741747.391,302.421,0.792,0.44864,15.231,62422.24786,-84.24614715199999,33.785185876
16208570,754988.46,3741747.378,302.254,0.792,0.43836,15.173,62422.24789,-84.246147171,33.785185756
16208571,754988.458,3741747.36,302.091,0.784,0.42807,15.122,62422.24793,-84.24614719899999,33.785185595
16208572,754988.457,3741747.347,301.927,0.792,0.41778999999999994,15.067,62422.24796,-84.246147216,33.785185484
16208573,754988.456,3741747.336,301.764,0.788,0.4075,15.013,62422.247989999996,-84.24614723,33.785185383000005
16208574,754988.454,3741747.318,301.604,0.796,0.39721999999999996,14.968,62422.24802000001,-84.24614725800001,33.785185224
16208575,754988.448,3741747.282,301.453,0.816,0.38693,14.945,62422.248060000005,-84.246147326,33.785184899
16208576,754988.448,3741747.277,301.29,0.824,0.37665,14.89,62422.24809,-84.246147327,33.785184854
16208577,754988.447,3741747.262,301.132,0.831,0.36635999999999996,14.847999999999999,62422.248120000004,-84.24614735,33.785184718000004
16208578,754988.446,3741747.254,300.972,0.827,0.35608,14.8,62422.24816,-84.24614735600001,33.785184646
16208579,754988.444,3741747.237,300.817,0.808,0.3458,14.765,62422.24819,-84.246147384,33.785184492
16208580,754988.442,3741747.218,300.663,0.812,0.33551,14.732999999999999,62422.24822,-84.246147416,33.785184319
16208581,754988.439,3741747.199,300.51,0.808,0.32523,14.702,62422.24825,-84.24614744600001,33.785184153
16208582,754988.438,3741747.186,300.355,0.816,0.31494,14.667,62422.248289999996,-84.246147465,33.785184033
16208583,754988.437,3741747.177,300.2,0.82,0.30466,14.629000000000001,62422.248320000006,-84.246147474,33.785183956
16208584,754988.434,3741747.155,300.05,0.824,0.29438000000000003,14.607000000000001,62422.24835,-84.246147512,33.785183758
16208684,754988.62,3741747.595,304.313,0.761,0.57206,15.675999999999998,62422.26079,-84.24614537800001,33.785187676999996
16208685,754988.62,3741747.59,304.127,0.769,0.56177,15.582,62422.26082,-84.246145379,33.785187627
16208686,754988.617,3741747.567,303.954,0.773,0.5514899999999999,15.511,62422.26085,-84.246145418,33.785187423
16208687,754988.618,3741747.567,303.769,0.776,0.5412,15.415999999999999,62422.260879999994,-84.246145407,33.785187422
16208688,754988.615,3741747.542,303.6,0.788,0.53091,15.353,62422.26092000001,-84.246145449,33.785187201999996
16208689,754988.612,3741747.516,303.433,0.769,0.52063,15.294,62422.26095,-84.246145496,33.785186963
16208690,754988.611,3741747.504,303.26,0.776,0.51034,15.22,62422.26097999999,-84.24614551100001,33.785186859
16208691,754988.608,3741747.486,303.092,0.773,0.5000600000000001,15.155,62422.261020000005,-84.24614553800001,33.785186701
16208692,754988.609,3741747.483,302.918,0.78,0.48977,15.075999999999999,62422.26105,-84.246145534,33.785186674
16208693,754988.606,3741747.459,302.756,0.78,0.47948,15.024000000000001,62422.26108,-84.246145578,33.785186452
16208694,754988.602,3741747.432,302.597,0.78,0.4692,14.975999999999999,62422.26111,-84.246145625,33.785186216
16208695,754988.602,3741747.425,302.429,0.78,0.45891000000000004,14.909,62422.26115,-84.246145631,33.785186146
16208696,754988.599,3741747.406,302.268,0.78,0.44863000000000003,14.857000000000001,62422.261179999994,-84.24614566,33.785185983000005
16208697,754988.599,3741747.399,302.104,0.78,0.43833999999999995,14.794,62422.261210000004,-84.246145666,33.785185917
16208698,754988.596,3741747.377,301.947,0.792,0.42806000000000005,14.75,62422.26124,-84.246145705,33.785185715
16208699,754988.594,3741747.357,301.79,0.788,0.41777,14.705,62422.26128,-84.24614573699999,33.785185535
16208700,754988.594,3741747.357,301.626,0.796,0.40749,14.64,62422.26131,-84.246145727,33.785185536
