pic_id,easting,northing,altitude,long,lat
8207,754283.05,3732205.046,251.967,-84.25649825,33.69938943
8208,754278.342,3732203.275,251.831,-84.2565495,33.69937461
8209,754273.743,3732201.579,251.729,-84.25659956,33.69936043
8210,754269.079,3732199.801,251.626,-84.25665034,33.69934553
8211,754264.346,3732198.102,251.446,-84.25670184,33.69933136
8212,754259.611,3732196.453,251.32,-84.25675334,33.69931763
8213,754254.873,3732194.956,251.217,-84.25680484,33.69930528
8214,754250.138,3732193.337,251.028,-84.25685634,33.69929183
8215,754245.262,3732191.848,250.911,-84.25690932,33.69927958
8216,754240.506,3732190.387,250.716,-84.256961,33.69926756
8217,754235.767,3732188.928,250.605,-84.2570125,33.69925555
8218,754231.023,3732187.648,250.502,-84.257064,33.69924516
8219,754226.152,3732186.197,250.3,-84.25711692,33.69923325
8220,754221.407,3732184.927,250.196,-84.25716842,33.69922295
8221,754216.653,3732183.658,250.087,-84.25722003,33.69921265
8222,754211.764,3732182.385,249.891,-84.25727309,33.69920235
8223,754207.001,3732181.115,249.775,-84.25732479,33.69919205
8224,754202.12,3732179.875,249.585,-84.25737775,33.69918205
8225,754197.24,3732178.758,249.464,-84.25743067,33.69917316
8226,754192.486,3732177.532,249.279,-84.25748226,33.69916325
8227,754187.577,3732176.449,249.153,-84.25753548,33.69915467
8228,754182.692,3732175.371,248.974,-84.25758844,33.69914613
8229,754177.808,3732174.294,248.872,-84.25764139,33.69913759
8230,754172.923,3732173.216,248.738,-84.25769435,33.69912905
8231,754168.062,3732172.143,248.567,-84.25774705,33.69912055
8232,754163.178,3732171.064,248.465,-84.25780001,33.699112
8233,754158.291,3732170.058,248.362,-84.25785297,33.6991041
8234,754153.427,3732169.099,248.26,-84.25790567,33.69909663
8235,754148.54,3732168.1,248.157,-84.25795863,33.6990888
8236,754143.674,3732167.216,248.055,-84.25801133,33.699082
8237,754138.832,3732166.336,247.954,-84.25806377,33.69907523
8238,754133.892,3732165.45,247.852,-84.25811727,33.69906843
8239,754128.969,3732164.568,247.751,-84.25817058,33.69906166
8240,754124.046,3732163.781,247.649,-84.25822387,33.69905575
8241,754119.15,3732162.994,247.6,-84.25827687,33.69904983
8242,754114.222,3732162.21,247.547,-84.2583302,33.69904395
8243,754109.243,3732161.517,247.446,-84.25838407,33.6990389
8244,754104.35,3732160.827,247.4,-84.25843701,33.69903385
8245,754099.439,3732160.136,247.343,-84.25849014,33.6990288
8246,754094.484,3732159.447,247.243,-84.25854374,33.69902378
8247,754089.502,3732158.861,247.2,-84.2585976,33.6990197
8248,754084.546,3732158.249,247.142,-84.2586512,33.69901537
8249,754079.563,3732157.666,247.1,-84.25870507,33.69901131
8250,754074.604,3732157.163,247.04,-84.25875867,33.69900796
8251,754069.619,3732156.657,247,-84.25881254,33.6990046
8252,754064.656,3732156.267,246.939,-84.25886614,33.69900227
8253,754059.695,3732155.834,246.9,-84.25891974,33.69899956
8254,754054.732,3732155.446,246.838,-84.25897334,33.69899725
8255,754049.796,3732155.015,246.8,-84.25902667,33.69899455
8256,754044.808,3732154.626,246.8,-84.25908054,33.69899224
8257,754039.844,3732154.308,246.736,-84.25913414,33.69899056
8258,754034.855,3732153.989,246.7,-84.259188,33.69898888
8259,754029.862,3732153.792,246.7,-84.25924187,33.6989883
8260,754024.847,3732153.533,246.7,-84.259296,33.69898717
8261,754019.854,3732153.341,246.7,-84.25934987,33.69898663
8262,754014.86,3732153.208,246.7,-84.25940374,33.69898663
8263,754009.951,3732153.078,246.7,-84.25945669,33.69898663
8264,754004.977,3732152.945,246.7,-84.25951034,33.69898663
8265,753999.958,3732152.812,246.7,-84.25956447,33.69898663
8266,753994.939,3732152.679,246.7,-84.2596186,33.69898663
8267,753989.92,3732152.546,246.7,-84.25967274,33.69898663
8268,753985.023,3732152.416,246.7,-84.25972556,33.69898663
8269,753980.037,3732152.283,246.7,-84.25977934,33.69898663
8270,753974.993,3732152.149,246.7,-84.25983374,33.69898663
8271,753970.103,3732152.019,246.7,-84.25988648,33.69898663
8272,753965.086,3732151.886,246.7,-84.2599406,33.69898663
8273,753960.038,3732151.914,246.788,-84.259995,33.69898809
8274,753955.132,3732151.807,246.8,-84.26004791,33.6989883
8275,753950.104,3732151.674,246.8,-84.26010214,33.6989883
8276,753945.06,3732151.54,246.894,-84.26015654,33.6989883
8277,753940.141,3732151.409,246.9,-84.2602096,33.6989883
8278,753935.098,3732151.456,246.9,-84.26026394,33.69898993
8279,753930.184,3732151.329,247,-84.26031694,33.69898996
8280,753925.145,3732151.195,247.002,-84.26037129,33.69898996
8281,753920.227,3732151.065,247.1,-84.26042434,33.69898996
8282,753915.17,3732150.93,247.108,-84.26047888,33.69898996
8283,753910.245,3732150.8,247.2,-84.260532,33.69898996
8284,753905.196,3732150.689,247.213,-84.26058646,33.69899017
8285,753900.258,3732150.72,247.315,-84.26063967,33.69899163
8286,753895.217,3732150.586,247.418,-84.26069404,33.69899163
8287,753890.3,3732150.491,247.52,-84.26074707,33.69899195
8288,753885.261,3732150.507,247.6,-84.26080137,33.6989933
8289,753880.338,3732150.376,247.624,-84.26085447,33.6989933
