Sign_ID,Unnamed: 0,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat,Pic
0,87801.0,16208442.0,754988.331,3741747.425,302.729,0.78,0.45903999999999995,15.626,62422.234520000005,-84.246148546,33.785186213,10304
0,87802.0,16208443.0,754988.326,3741747.39,302.567,0.784,0.44876000000000005,15.589,62422.23455,-84.24614861100001,33.785185901999995,10304
0,87917.0,16208558.0,754988.484,3741747.582,304.324,0.761,0.56179,15.97,62422.2475,-84.24614685600001,33.785187593,10304
0,87918.0,16208559.0,754988.48,3741747.556,304.148,0.773,0.5515100000000001,15.901,62422.24752999999,-84.246146903,33.785187356,10304
0,87919.0,16208560.0,754988.477,3741747.53,303.973,0.773,0.54122,15.833,62422.24757000001,-84.24614694600001,33.785187129,10304
0,87920.0,16208561.0,754988.477,3741747.525,303.788,0.776,0.53093,15.745,62422.2476,-84.24614694600001,33.785187083000004,10304
0,87921.0,16208562.0,754988.475,3741747.511,303.611,0.784,0.52064,15.67,62422.24763,-84.246146967,33.785186951,10304
0,87922.0,16208563.0,754988.472,3741747.487,303.44,0.773,0.51036,15.607999999999999,62422.24766,-84.246147009,33.785186737,10304
0,87923.0,16208564.0,754988.472,3741747.482,303.26,0.773,0.50007,15.526,62422.2477,-84.246147007,33.785186695,10304
0,87924.0,16208565.0,754988.468,3741747.453,303.095,0.776,0.48978999999999995,15.475,62422.247729999995,-84.24614706,33.785186431999996,10304
0,87925.0,16208566.0,754988.466,3741747.434,302.926,0.78,0.4795,15.414000000000001,62422.247760000006,-84.24614709,33.785186265,10304
0,87926.0,16208567.0,754988.466,3741747.431,302.751,0.784,0.46921,15.338,62422.2478,-84.246147087,33.785186232,10304
0,87927.0,16208568.0,754988.464,3741747.409,302.586,0.784,0.45893,15.285,62422.24782999999,-84.246147123,33.785186038,10304
0,88043.0,16208684.0,754988.62,3741747.595,304.313,0.761,0.57206,15.675999999999998,62422.26079,-84.24614537800001,33.785187676999996,10304
0,88044.0,16208685.0,754988.62,3741747.59,304.127,0.769,0.56177,15.582,62422.26082,-84.246145379,33.785187627,10304
0,88045.0,16208686.0,754988.617,3741747.567,303.954,0.773,0.5514899999999999,15.511,62422.26085,-84.246145418,33.785187423,10304
0,88046.0,16208687.0,754988.618,3741747.567,303.769,0.776,0.5412,15.415999999999999,62422.260879999994,-84.246145407,33.785187422,10304
0,88047.0,16208688.0,754988.615,3741747.542,303.6,0.788,0.53091,15.353,62422.26092000001,-84.246145449,33.785187201999996,10304
0,88048.0,16208689.0,754988.612,3741747.516,303.433,0.769,0.52063,15.294,62422.26095,-84.246145496,33.785186963,10304
0,88049.0,16208690.0,754988.611,3741747.504,303.26,0.776,0.51034,15.22,62422.26097999999,-84.24614551100001,33.785186859,10304
0,88050.0,16208691.0,754988.608,3741747.486,303.092,0.773,0.5000600000000001,15.155,62422.261020000005,-84.24614553800001,33.785186701,10304
0,88051.0,16208692.0,754988.609,3741747.483,302.918,0.78,0.48977,15.075999999999999,62422.26105,-84.246145534,33.785186674,10304
0,88052.0,16208693.0,754988.606,3741747.459,302.756,0.78,0.47948,15.024000000000001,62422.26108,-84.246145578,33.785186452,10304
0,88053.0,16208694.0,754988.602,3741747.432,302.597,0.78,0.4692,14.975999999999999,62422.26111,-84.246145625,33.785186216,10304
0,88169.0,16208810.0,754988.764,3741747.646,304.273,0.769,0.58243,15.335999999999999,62422.27407000001,-84.24614381800001,33.785188096999995,10304
0,88170.0,16208811.0,754988.758,3741747.609,304.11,0.769,0.57214,15.279000000000002,62422.2741,-84.246143887,33.785187769000004,10304
0,88171.0,16208812.0,754988.759,3741747.604,303.928,0.765,0.56186,15.186,62422.274139999994,-84.246143885,33.785187728000004,10304
0,88172.0,16208813.0,754988.755,3741747.579,303.761,0.773,0.55157,15.120999999999999,62422.274170000004,-84.246143931,33.785187496999995,10304
0,88173.0,16208814.0,754988.755,3741747.574,303.583,0.788,0.54128,15.034,62422.2742,-84.246143931,33.785187453,10304
0,88174.0,16208815.0,754988.753,3741747.558,303.414,0.769,0.531,14.963,62422.274229999995,-84.246143955,33.785187314,10304
0,88175.0,16208816.0,754988.751,3741747.54,303.247,0.773,0.52071,14.895999999999999,62422.27427,-84.24614398199999,33.785187152,10304
0,88176.0,16208817.0,754988.749,3741747.523,303.082,0.776,0.51042,14.831,62422.2743,-84.24614401,33.785186996,10304
0,88177.0,16208818.0,754988.748,3741747.513,302.914,0.78,0.5001399999999999,14.76,62422.27432999999,-84.246144022,33.785186904,10304
0,88178.0,16208819.0,754988.748,3741747.502,302.748,0.776,0.48985,14.690999999999999,62422.27437000001,-84.24614403300001,33.785186812,10304
0,88179.0,16208820.0,754988.743,3741747.472,302.594,0.776,0.47957,14.648,62422.2744,-84.24614409,33.785186536,10304
0,88296.0,16208937.0,754988.902,3741747.668,304.24,0.757,0.5926,15.025,62422.28736,-84.246142318,33.785188263,10304
0,88297.0,16208938.0,754988.901,3741747.656,304.063,0.757,0.58231,14.937999999999999,62422.28739,-84.24614233300001,33.785188159,10304
0,88298.0,16208939.0,754988.901,3741747.653,303.884,0.761,0.57202,14.844000000000001,62422.28742000001,-84.24614233,33.785188128,10304
0,88299.0,16208940.0,754988.893,3741747.599,303.737,0.769,0.56174,14.812000000000001,62422.28746,-84.246142435,33.785187649,10304
0,88300.0,16208941.0,754988.893,3741747.593,303.563,0.769,0.55145,14.725999999999999,62422.287489999995,-84.246142438,33.785187595,10304
0,88301.0,16208942.0,754988.891,3741747.579,303.395,0.765,0.5411600000000001,14.652000000000001,62422.287520000005,-84.24614245800001,33.78518747,10304
0,88302.0,16208943.0,754988.89,3741747.565,303.229,0.769,0.53088,14.582,62422.28755,-84.246142479,33.785187341,10304
0,88303.0,16208944.0,754988.891,3741747.567,303.056,0.776,0.52059,14.494000000000002,62422.28759,-84.246142463,33.785187359,10304
0,88304.0,16208945.0,754988.887,3741747.539,302.902,0.773,0.5103,14.444,62422.28762,-84.246142515,33.785187104,10304
0,88305.0,16208946.0,754988.885,3741747.523,302.741,0.773,0.50002,14.380999999999998,62422.28765,-84.24614253899999,33.785186966,10304
0,88306.0,16208947.0,754988.885,3741747.512,302.58,0.776,0.48973,14.315,62422.28769,-84.246142552,33.785186868000004,10304
0,88422.0,16209063.0,754989.041,3741747.699,304.378,0.729,0.61315,14.805,62422.300610000006,-84.246140808,33.785188516,10304
0,88423.0,16209064.0,754989.041,3741747.693,304.198,0.761,0.6028600000000001,14.709000000000001,62422.30065,-84.246140811,33.785188455,10304
0,88424.0,16209065.0,754989.039,3741747.675,304.029,0.757,0.5925699999999999,14.63,62422.30067999999,-84.246140841,33.785188292,10304
0,88425.0,16209066.0,754989.034,3741747.643,303.871,0.761,0.58229,14.57,62422.30071,-84.246140899,33.785188006999995,10304
0,88426.0,16209067.0,754989.035,3741747.643,303.693,0.765,0.5720000000000001,14.474,62422.30074,-84.246140889,33.785188009,10304
0,88427.0,16209068.0,754989.034,3741747.63,303.526,0.761,0.56171,14.395999999999999,62422.30078,-84.24614090600001,33.785187893,10304
0,88428.0,16209069.0,754989.031,3741747.605,303.368,0.765,0.55143,14.335,62422.30081,-84.24614095,33.78518767,10304
0,88429.0,16209070.0,754989.031,3741747.604,303.198,0.769,0.54114,14.249,62422.300839999996,-84.246140943,33.785187655,10304
0,88430.0,16209071.0,754989.028,3741747.58,303.042,0.769,0.53086,14.192,62422.300879999995,-84.246140984,33.785187442,10304
0,88431.0,16209072.0,754989.027,3741747.566,302.882,0.769,0.52057,14.125,62422.300910000005,-84.246141004,33.785187318,10304
0,88432.0,16209073.0,754989.025,3741747.552,302.725,0.765,0.5102800000000001,14.061,62422.30094,-84.246141026,33.785187188,10304
0,88433.0,16209074.0,754989.026,3741747.555,302.559,0.776,0.5,13.979000000000001,62422.300970000004,-84.24614101,33.785187215,10304
0,88550.0,16209191.0,754989.181,3741747.727,304.326,0.749,0.62351,14.482999999999999,62422.3139,-84.246139295,33.78518873,10304
0,88551.0,16209192.0,754989.18,3741747.716,304.153,0.757,0.61323,14.394,62422.31393,-84.24613931,33.785188628,10304
0,88552.0,16209193.0,754989.175,3741747.685,303.995,0.765,0.6029399999999999,14.33,62422.31396,-84.24613936600001,33.785188355,10304
0,88553.0,16209194.0,754989.175,3741747.676,303.824,0.765,0.59265,14.243,62422.313989999995,-84.246139376,33.78518827,10304
0,88554.0,16209195.0,754989.178,3741747.691,303.639,0.769,0.58236,14.128,62422.314029999994,-84.24613933100001,33.785188411,10304
0,88555.0,16209196.0,754989.171,3741747.646,303.496,0.753,0.57208,14.09,62422.314060000004,-84.24613942,33.785188,10304
0,88556.0,16209197.0,754989.171,3741747.639,303.33,0.761,0.56179,14.007,62422.31409,-84.24613942399999,33.785187943000004,10304
0,88557.0,16209198.0,754989.171,3741747.632,303.166,0.757,0.5515,13.927999999999999,62422.31413,-84.246139431,33.785187873000005,10304
0,88558.0,16209199.0,754989.166,3741747.6,303.019,0.757,0.54122,13.88,62422.31416,-84.24613949,33.785187586999996,10304
0,88559.0,16209200.0,754989.164,3741747.582,302.864,0.773,0.53094,13.818,62422.31419,-84.246139518,33.785187431,10304
0,88560.0,16209201.0,754989.167,3741747.595,302.693,0.757,0.52065,13.722000000000001,62422.31422000001,-84.24613948,33.785187547,10304
0,88561.0,16209202.0,754989.163,3741747.569,302.547,0.773,0.51036,13.674000000000001,62422.31426,-84.246139528,33.785187308000005,10304
0,88679.0,16209320.0,754989.319,3741747.747,304.268,0.757,0.63367,14.167,62422.32717999999,-84.2461378,33.785188873,10304
0,88680.0,16209321.0,754989.316,3741747.726,304.104,0.749,0.62339,14.088,62422.32721,-84.246137833,33.785188693,10304
