Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
0,737712.9418522726,3754983.265397727,275.73557954545464,0.7957499999999998,-84.42897903429547,33.90846400490909,88
1,737860.3891629633,3755163.277303702,276.36423703703707,0.8049407407407405,-84.42733694300001,33.910052610755564,135
2,738271.1833406594,3755579.4765714277,289.1935934065935,0.8507472527472522,-84.42278484343959,33.91370966512089,91
3,738326.46275,3755616.2655892856,289.66117857142854,0.7956785714285713,-84.42217746723213,33.91402862039286,56
4,738837.1978208954,3755808.0011791047,294.6293731343284,0.7958208955223882,-84.41660593022387,33.91564041146269,67
5,738967.1219599999,3755822.207573334,295.74630666666667,0.8565466666666667,-84.41519798577335,33.91573893091999,75
6,739016.42875,3755825.9100750005,296.068075,0.8535249999999998,-84.414664122175,33.91576109822499,40
7,739054.3042643677,3755828.9886551714,301.4928275862069,0.7741839080459775,-84.41425396722988,33.91578023789655,87
8,739150.2158823529,3755826.145338236,299.351705882353,0.8377352941176468,-84.41321823445594,33.91573284027941,68
9,739304.1870999999,3755819.252433334,301.79586666666665,0.7934666666666665,-84.41155616466666,33.915635754300006,30
10,739334.310875,3755830.5665999977,302.1176249999999,0.8151750000000002,-84.41122753540003,33.91573084624999,120
11,739751.1509024391,3755842.764390244,314.44312195121944,0.7827073170731708,-84.40671947487806,33.91574591602439,41
12,739941.2603199999,3755839.3349999995,320.5862,0.7708000000000002,-84.40466593216,33.91567171328,25
13,740000.0120199998,3755837.996509999,319.2494700000002,0.7970000000000005,-84.40403138049004,33.91564626504999,100
14,740064.0948108109,3755819.2257567565,323.1905945945947,0.7725675675675672,-84.40334398256755,33.915462536054044,37
15,740211.3898039212,3755780.9002941176,328.56868627450984,0.7897254901960784,-84.40176268756863,33.915083642156866,51
16,740254.0361607141,3755757.4920178563,329.8631785714286,0.7762857142857145,-84.40130822735716,33.914863009214294,56
17,740254.8857956989,3755759.4546559127,329.493935483871,0.7945591397849459,-84.40129850747314,33.91488049851614,93
18,740254.7972000004,3755759.279642856,331.0394000000001,0.7757285714285714,-84.4012995130143,33.91487894187143,70
19,740414.6291363637,3755696.521522728,331.2544318181818,0.815840909090909,-84.39958944734089,33.9142770283409,44
20,740571.881875,3755644.1265,327.8421666666667,0.8313333333333333,-84.3979044395,33.913769050083324,24
21,740596.5944307691,3755631.8102769223,327.30179999999996,0.7822769230769231,-84.39764075906155,33.91365243783076,65
22,740596.8030833332,3755632.3973749992,328.81277083333333,0.77375,-84.39763834258333,33.91365767941666,48
23,740597.2050519481,3755633.862090908,327.2538701298703,0.7827012987012989,-84.39763359793508,33.91367078481818,77
24,740597.297525,3755633.973975,328.80155,0.7870999999999998,-84.39763256802502,33.91367177145001,40
25,740684.2988333335,3755621.226119048,324.06630952380954,0.7973095238095238,-84.39669588338094,33.91353703559524,42
26,740726.792147541,3755615.9964426234,322.5029508196721,0.8505901639344262,-84.39623811362294,33.913480204770494,61
27,740807.7194578312,3755605.1640722896,319.40060240963845,0.7955903614457832,-84.39536654685543,33.913364104590364,83
28,740836.6108083335,3755598.840224999,319.3581333333334,0.8047166666666666,-84.39505606893333,33.91330052111667,120
29,740836.5834918033,3755598.6400983613,317.82747540983604,0.7898688524590161,-84.39505641868855,33.91329872460655,61
30,740836.8255248227,3755600.770205674,318.07526241134764,0.8173404255319152,-84.39505321938299,33.91331786099289,141
31,740836.8241509434,3755600.893641508,319.62946226415085,0.8150377358490565,-84.39505320048113,33.91331897282074,106
32,740836.9702380954,3755601.9871190465,318.0938095238096,0.8125238095238096,-84.39505132257142,33.9133287915,42
33,741349.7973166667,3755534.6708166664,304.4718,0.8357166666666667,-84.38952800928335,33.91260488421667,60
34,741385.3584179105,3755528.4178208965,303.7267910447761,0.8118507462686567,-84.38914544573139,33.9125403961791,67
35,741490.4372575758,3755515.9234545445,302.77083333333326,0.8465303030303029,-84.38801336984845,33.912403735212116,66
36,741910.335269006,3755488.8434268977,304.2652514619885,0.8148479532163733,-84.38348331546781,33.91206338159063,171
37,741910.4852154696,3755488.9045469603,302.3557845303867,0.8163038674033142,-84.3834816780884,33.91206389754697,181
38,741910.5074708996,3755490.7695502643,304.340634920635,0.8076137566137576,-84.38348092404235,33.91208069574603,189
39,741910.6525737708,3755490.9520245907,302.48959016393445,0.8092213114754113,-84.38347930608201,33.912082306331975,244
40,741910.7104444444,3755490.6473333333,301.5091111111111,0.8103703703703701,-84.38347876314812,33.9120795477037,27
41,741910.7367999998,3755492.295288891,302.58686666666665,0.7904444444444445,-84.38347802556666,33.912094388944446,90
42,741910.8146200003,3755492.318700001,301.60904000000005,0.79246,-84.38347717726,33.9120945823,50
43,742067.2982758619,3755488.84953793,295.4684965517241,0.8095034482758623,-84.3817871452276,33.9120273687862,145
44,742154.9596338028,3755489.7776338044,293.37539436619716,0.8538732394366196,-84.38083960746481,33.912015577056344,71
45,742167.7589700002,3755490.4251099993,293.40842,0.8543949999999987,-84.38070111720994,33.912018467520014,200
46,742232.6954571427,3755491.4758,291.05371428571425,0.8175999999999998,-84.37999911382857,33.9120129996,35
47,742308.8041267602,3755497.08740845,295.12247887323963,0.7734084507042255,-84.37917512485912,33.91204604788734,71
48,742571.7522127657,3755482.396861702,290.982755319149,0.8370212765957441,-84.3763377351383,33.91185315821277,94
