Sign_ID,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat,Pic
0,673945.0,737712.918,3754983.271,275.416,0.796,-0.0038299999999999996,8.517999999999999,49306.36512,-84.42897928800001,33.908464062,50
0,673946.0,737712.915,3754983.275,275.329,0.792,-0.0141,8.522,49306.36515,-84.42897932300001,33.908464095999996,50
0,674030.0,737712.924,3754983.315,276.199,0.78,0.08872999999999999,8.373,49306.37814,-84.428979219,33.90846446,50
0,674031.0,737712.918,3754983.317,276.113,0.8,0.07845,8.366,49306.378169999996,-84.42897928,33.908464479,50
0,674032.0,737712.903,3754983.313,276.027,0.78,0.06817999999999999,8.349,49306.37821,-84.428979439,33.908464445999996,50
0,674035.0,737712.898,3754983.327,275.77,0.769,0.037360000000000004,8.35,49306.37831,-84.42897949399999,33.908464572,50
0,674036.0,737712.885,3754983.324,275.684,0.792,0.027089999999999996,8.339,49306.378339999996,-84.428979631,33.908464549,50
0,674037.0,737712.873,3754983.322,275.599,0.776,0.016819999999999998,8.329,49306.37837,-84.428979768,33.908464528,50
0,674038.0,737712.868,3754983.324,275.514,0.808,0.006540000000000001,8.329,49306.3784,-84.428979821,33.90846455,50
0,674039.0,737712.873,3754983.334,275.428,0.804,-0.00373,8.343,49306.37844,-84.428979755,33.908464638000005,50
0,674040.0,737712.863,3754983.333,275.343,0.804,-0.014,8.338,49306.378469999996,-84.42897987,33.908464628000004,50
0,674125.0,737712.876,3754983.377,276.192,0.796,0.08862,8.195,49306.39146,-84.428979721,33.908465028,50
0,674126.0,737712.847,3754983.364,276.107,0.796,0.07835,8.161,49306.391489999995,-84.428980028,33.908464914,50
0,674127.0,737712.866,3754983.382,276.024,0.804,0.06808,8.184,49306.39152,-84.428979824,33.908465074,50
0,674128.0,737712.845,3754983.374,275.94,0.804,0.0578,8.16,49306.391560000004,-84.428980054,33.908465002,50
0,674129.0,737712.851,3754983.384,275.856,0.808,0.04753,8.17,49306.39159,-84.428979984,33.90846509,50
0,674130.0,737712.816,3754983.365,275.773,0.804,0.03726,8.131,49306.39162,-84.428980367,33.908464934,50
0,674131.0,737712.828,3754983.379,275.689,0.804,0.026989999999999997,8.15,49306.39165,-84.428980231,33.908465058000004,50
0,674132.0,737712.836,3754983.39,275.605,0.788,0.01671,8.164,49306.39169,-84.42898014800001,33.908465154,50
0,674133.0,737712.83,3754983.392,275.521,0.812,0.00644,8.163,49306.39172,-84.428980209,33.908465172,50
0,674134.0,737712.801,3754983.378,275.439,0.8,-0.0038299999999999996,8.135,49306.39175,-84.428980523,33.908465053,50
0,674135.0,737712.811,3754983.39,275.354,0.8,-0.0141,8.154,49306.391789999994,-84.42898041800001,33.908465161,50
0,674220.0,737712.8,3754983.414,276.184,0.8,0.08862,7.979,49306.404780000004,-84.428980529,33.908465373,50
0,674221.0,737712.813,3754983.428,276.103,0.804,0.07833999999999999,7.995,49306.40481,-84.428980381,33.908465501,50
0,674222.0,737712.798,3754983.423,276.02,0.796,0.06807,7.977,49306.404839999996,-84.428980549,33.90846546,50
0,674223.0,737712.81,3754983.437,275.939,0.812,0.0578,7.992999999999999,49306.40488,-84.428980415,33.908465581,50
0,674224.0,737712.793,3754983.431,275.857,0.8,0.04753,7.975,49306.404910000005,-84.428980599,33.908465532,50
0,674225.0,737712.79,3754983.435,275.775,0.8,0.03726,7.975,49306.40494,-84.428980627,33.908465566,50
0,674226.0,737712.78,3754983.434,275.693,0.808,0.026989999999999997,7.9670000000000005,49306.404969999996,-84.428980735,33.908465557,50
0,674227.0,737712.783,3754983.441,275.611,0.788,0.01671,7.975,49306.40501,-84.428980705,33.908465623000005,50
0,674228.0,737712.787,3754983.449,275.529,0.808,0.00644,7.986000000000001,49306.40504,-84.42898065600001,33.908465698,50
0,674229.0,737712.771,3754983.444,275.448,0.796,-0.0038299999999999996,7.973,49306.40507,-84.428980832,33.908465652,50
0,674230.0,737712.767,3754983.447,275.366,0.804,-0.0141,7.976,49306.40511,-84.42898087,33.908465682,50
0,674314.0,737712.772,3754983.471,276.178,0.765,0.08871,7.813,49306.4181,-84.428980813,33.908465893,50
0,674315.0,737712.772,3754983.476,276.097,0.765,0.07844,7.813,49306.41813,-84.42898081,33.908465942,50
0,674316.0,737712.756,3754983.471,276.017,0.765,0.06817000000000001,7.794,49306.41816,-84.428980987,33.908465895,50
0,674317.0,737712.766,3754983.483,275.937,0.765,0.0579,7.808,49306.4182,-84.42898087100001,33.908466006,50
0,674318.0,737712.764,3754983.487,275.857,0.765,0.04763,7.808,49306.41823,-84.42898089100001,33.908466043000004,50
0,674320.0,737712.75,3754983.488,275.697,0.761,0.027089999999999996,7.797999999999999,49306.418289999994,-84.42898104300001,33.908466057,50
0,674322.0,737712.737,3754983.49,275.538,0.788,0.006540000000000001,7.792000000000001,49306.41836,-84.42898118800001,33.908466075,50
0,674323.0,737712.746,3754983.501,275.457,0.796,-0.00373,7.809,49306.41839,-84.428981091,33.908466175,50
0,674324.0,737712.731,3754983.497,275.378,0.796,-0.014,7.7989999999999995,49306.41842,-84.428981246,33.90846614,50
1,814270.0,737860.655,3755163.069,276.49,0.765,0.04759,15.407,49324.28634,-84.427334129,33.910050677,97
1,814271.0,737860.657,3755163.075,276.332,0.776,0.0373,15.405999999999999,49324.28637,-84.427334102,33.910050731999995,97
1,814272.0,737860.657,3755163.08,276.173,0.784,0.02702,15.404000000000002,49324.2864,-84.427334102,33.910050776999995,97
1,814273.0,737860.642,3755163.078,276.015,0.792,0.016730000000000002,15.387,49324.28643,-84.427334263,33.910050758000004,97
1,814386.0,737860.649,3755163.087,276.805,0.761,0.06815,15.368,49324.29958,-84.42733419,33.910050839,97
1,814387.0,737860.646,3755163.091,276.647,0.792,0.057870000000000005,15.357999999999999,49324.29962,-84.427334219,33.910050872,97
1,814388.0,737860.634,3755163.09,276.488,0.796,0.04759,15.34,49324.29965,-84.427334343,33.910050866999995,97
1,814389.0,737860.629,3755163.092,276.331,0.808,0.0373,15.33,49324.299680000004,-84.427334405,33.910050888,97
1,814390.0,737860.634,3755163.1,276.173,0.82,0.02702,15.334000000000001,49324.29971,-84.427334345,33.910050956,97
1,814391.0,737860.618,3755163.097,276.015,0.824,0.016730000000000002,15.315999999999999,49324.29975,-84.427334516,33.910050933,97
1,814503.0,737860.612,3755163.1,276.803,0.769,0.06825,15.283,49324.3129,-84.42733458,33.910050959,97
1,814504.0,737860.612,3755163.105,276.645,0.82,0.05797000000000001,15.276,49324.31293,-84.42733458,33.910051004,97
1,814505.0,737860.612,3755163.11,276.488,0.82,0.047689999999999996,15.270999999999999,49324.31296,-84.427334577,33.91005105,97
1,814506.0,737860.597,3755163.107,276.331,0.831,0.0374,15.25,49324.31299,-84.427334746,33.910051027,97
1,814507.0,737860.603,3755163.115,276.174,0.831,0.02712,15.255,49324.313030000005,-84.427334676,33.910051099,97
1,814508.0,737860.602,3755163.12,276.017,0.827,0.01683,15.254000000000001,49324.31306,-84.427334682,33.910051142,97
1,814621.0,737860.591,3755163.12,276.798,0.765,0.06815,15.215,49324.32621,-84.427334802,33.910051147,97
1,814622.0,737860.587,3755163.123,276.641,0.82,0.057870000000000005,15.204,49324.326239999995,-84.427334842,33.910051175999996,97
1,814623.0,737860.585,3755163.127,276.485,0.796,0.04759,15.196,49324.32627,-84.42733486899999,33.910051209,97
1,814624.0,737860.584,3755163.131,276.329,0.831,0.0373,15.192,49324.326310000004,-84.427334872,33.910051253,97
1,814625.0,737860.562,3755163.125,276.172,0.82,0.02702,15.165,49324.32634,-84.427335115,33.9100512,97
1,814626.0,737860.569,3755163.133,276.016,0.827,0.016730000000000002,15.172,49324.326369999995,-84.427335042,33.910051273,97
1,814739.0,737860.561,3755163.136,276.794,0.765,0.06815,15.137,49324.33952,-84.427335123,33.910051295,97
1,814740.0,737860.565,3755163.143,276.639,0.8,0.057870000000000005,15.135,49324.33955,-84.427335076,33.910051358000004,97
1,814741.0,737860.556,3755163.143,276.483,0.796,0.04759,15.119000000000002,49324.339589999996,-84.42733518,33.910051361,97
1,814742.0,737860.559,3755163.149,276.327,0.824,0.0373,15.119000000000002,49324.33962,-84.427335144,33.91005142,97
1,814743.0,737860.547,3755163.148,276.172,0.827,0.02702,15.104000000000001,49324.33965,-84.42733527,33.910051413000005,97
1,814744.0,737860.539,3755163.149,276.016,0.824,0.016730000000000002,15.095,49324.339680000005,-84.427335354,33.910051424,97
1,814857.0,737860.533,3755163.152,276.792,0.769,0.06825,15.061,49324.35283,-84.427335426,33.91005145,97
1,814858.0,737860.534,3755163.158,276.637,0.796,0.05797000000000001,15.056,49324.35287,-84.427335407,33.910051501999995,97
1,814859.0,737860.518,3755163.154,276.482,0.808,0.047689999999999996,15.032,49324.3529,-84.427335589,33.910051473,97
1,814860.0,737860.526,3755163.164,276.327,0.812,0.0374,15.038,49324.35293,-84.427335495,33.910051555,97
